product_id,product_name,category,nutriscore,score_content,score_cf,score_expiry,score_pagerank,score_hybrid_v1,score_hybrid_v2_graph
46979,Asparagus,4,A,0.2877528990081719,0.25349418135780843,0.25,0.019440872687611913,0.6988718654846321,0.7540827585641324
22935,Organic Yellow Onion,4,A,0.40385800857915094,0.22716684559303096,0.16666666666666666,0.02040128049013791,0.6854008894751085,0.6981865180856147
8518,Organic Red Onion,4,A,0.42948681790971655,0.3303476031882926,0.0,0.020105508469565915,0.6739754497169098,0.659982464083507
47766,Organic Avocado,4,D,0.600329102788727,0.23433715296250227,0.0,0.018261339017618405,0.6943621929506927,0.6360348702035846
16797,Strawberries,4,A,0.34689112159760455,0.20773046338801598,0.14285714285714285,0.02158305384789333,0.6075506599807831,0.6245792450008604
28204,Organic Fuji Apple,4,D,0.6128315527533785,0.1869835763042151,0.0,0.020414807628755444,0.6550925523393835,0.5889917248215372
4920,Seedless Red Grapes,4,B,0.3510563631583052,0.29148867918329985,0.0,0.021433027509602555,0.5807879178572404,0.577833723337835
21137,Organic Strawberries,4,A,0.45747756503154113,0.09883744744506773,0.14285714285714285,0.019871372140234843,0.5734984574464874,0.556579524717363
5077,100% Whole Wheat Bread,3,C,0.37343783316715234,0.24865407185745977,0.0,0.020930947329238055,0.5528763783108053,0.5407160546731211
27104,Fresh Cauliflower,4,B,0.2812183345680035,0.15906605198324228,0.14285714285714285,0.01894536936621499,0.513221237450907,0.5376819113987555
